Unnamed: 0,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
0,NTR Guadalajara,10-09-26,Eliminan cobro por desanclaje de MiBici eléctrica,trafilatura,trafilatura,1599,0.35,https://www.ntrguadalajara.com/post.php?id_nota=249706,,"A poco más de tres meses del arranque del servicio de bicicletas eléctricas del sistema MiBici, a partir de este 10 de septiembre dejó de aplicarse el cargo de 10 pesos por el desanclaje de las unidades.
""A partir de hoy ya no se cobra la tarifa por desanclaje y se aumenta el tiempo a 15 minutos"", informó el sistema.
Hace una semana, el 3 de septiembre, el Congreso de Jalisco avaló la eliminación del cobro por desanclaje de unidades eléctricas y extendió el tiempo de uso sin pagos extra a 15 minutos, ya que antes era de 10; sin embargo, esto quedó oficializado hasta este jueves luego de que se publicara en el periódico oficial 'El Estado de Jalisco'.
Eso sí, la publicación precisa que a las y los usuarios que excedan el periodo de uso de 15 minutos se les aplicará un cobro de 2 pesos por cada minuto adicional.
La eliminación del cobro por desanclaje fue propuesta por el gobernador de Jalisco, Pablo Lemus Navarro; sin embargo, no se le dio prioridad en el Congreso de Jalisco.
El modelo eléctrico de MiBici fue presentado el 9 de junio por el gobierno de Jalisco. En ese momento se puso en marcha la primera fase que contempló la incorporación de mil bicicletas eléctricas y 100 ciclopuertos eléctricos.
De acuerdo con la autoridad estatal, la incorporación de bicicletas eléctricas representa una transformación para el sistema de MiBici, el cual opera con 370 estaciones y una flotilla de 4 mil 79 bicicletas.
Además, destacó que el programa cuenta con más de 16 mil personas usuarias activas, quienes han realizado más de 37 millones de viajes desde el inicio de operaciones.
GR-jl/I"
1,Tribuna de la bahia,07-09-26,Ciclistas buscan proyecto de ciclovía escénica en Puerto Vallarta; se manifestarán sobre ruedas,trafilatura,trafilatura,2118,0.61,https://tribunadelabahia.com.mx/buscan-ciclovia-escenica-vallarta/,,"Ciclistas buscan proyecto de ciclovía escénica en Puerto Vallarta; se manifestarán sobre ruedas
Con el objetivo de mejorar las condiciones para la práctica deportiva y fomentar una movilidad más segura y sustentable, atletas, ciclistas y agrupaciones deportivas de la región comenzaron a promover una iniciativa para solicitar al gobernador de Jalisco, Pablo Lemus, la construcción de una ciclovía escénica en Puerto Vallarta.
El proyecto pretende crear un espacio destinado al entrenamiento y desplazamiento en bicicleta al aire libre, brindando mayor seguridad tanto a deportistas como a quienes utilizan este medio de transporte. Al mismo tiempo, la propuesta contempla aprovechar el atractivo natural y turístico del municipio para generar una nueva experiencia dirigida a habitantes y visitantes.
Como parte de las acciones para respaldar la petición, los impulsores de la iniciativa organizaron una rodada masiva para el próximo 20 de septiembre, a la que invitaron a integrantes de la comunidad deportiva y ciudadanía en general.
La actividad comenzará a las 08:00 horas, teniendo como punto de encuentro los Arcos del Malecón, desde donde partirá el contingente con la intención de hacer visible la necesidad de contar con infraestructura vial que contemple a ciclistas, corredores y otros usuarios de la vía pública.
Los promotores señalaron que una obra de estas características tendría beneficios que irían más allá del ámbito deportivo, al ofrecer una alternativa para disminuir la exposición de ciclistas a vehículos en las principales vialidades y contribuir a prevenir accidentes.
A través de esta movilización pacífica, los participantes buscan llamar la atención de las autoridades estatales y generar un canal de diálogo que permita analizar la viabilidad del proyecto, con miras a que pueda ser contemplado dentro del presupuesto y los programas de obra pública de la actual administración estatal.
La rodada será, de esta manera, un llamado a fortalecer la infraestructura ciclista de Puerto Vallarta y avanzar hacia un modelo de movilidad que combine seguridad, deporte, turismo y sustentabilidad."
2,NTR Guadalajara,07-09-26,Celebran eliminación de cobro en MiBici,trafilatura,trafilatura,2765,0.21,https://www.ntrguadalajara.com/post.php?id_nota=249500,,"La eliminación del cobro por desanclaje y uso por 15 minutos de las bicicletas eléctricas de MiBici fue bien recibida por usuarios, aunque entre ellos señalaron que persisten problemas en el servicio, como la falta de ciclovías suficientes y conectadas, la disponibilidad irregular de unidades y bicicletas con desperfectos. La reforma que deja atrás el cobro fue aprobada el jueves por el Congreso de Jalisco, pero aún está pendiente su publicación en el periódico oficial 'El Estado de Jalisco', por lo que pidieron que se haga efectiva.
Para Ulises Contreras, usuario de MiBici desde 2024, ampliar de 10 a 15 minutos el periodo sin cobro es ""un buen paso"", aunque consideró que eventualmente podría extenderse más.
En entrevista, relató que inicialmente desconocía que las bicicletas eléctricas generaban un cobro después de 10 minutos, por lo que acumuló cargos pese a contar con una membresía anual.
Por otro lado, destacó que las bicicletas eléctricas representan una ventaja para quienes deben recorrer pendientes o desplazarse bajo altas temperaturas, pues permiten llegar a su destino con menor esfuerzo.
No obstante, consideró que el beneficio de las bicicletas eléctricas todavía está concentrado en las zonas centrales de la ciudad y que su expansión debería contemplar a quienes viven en las periferias, particularmente en municipios como Tonalá y Tlajomulco, así como en zonas del norte de Zapopan.
En ese sentido, Contreras consideró que incorporar bicicletas eléctricas sin ampliar y mejorar la red de ciclovías no garantiza el éxito del programa, pues existen tramos estrechos, baches y vías que no tienen continuidad con otros corredores ciclistas.
""La red actual se me hace eficiente, más no suficiente"", resumió.
Ángel, de 25 años, también celebró la reforma y pidió que se publique para que pueda aplicarse. Además, consideró necesaria una mayor infraestructura ciclista. ""Con un sistema de transporte deficiente la bici ahorra tiempo, pero las vialidades no son las mejores"", señaló.
Mariana Uribe, de 32 años, coincidió en que las bicicletas eléctricas deben coexistir con las mecánicas y que ambas opciones deben mantenerse disponibles y en buenas condiciones.
En el mismo sentido, Taly señaló que aunque han aumentado las estaciones, persisten puertos sin bicicletas y unidades con fallas. En ocasiones, añadió, la distribución entre bicicletas mecánicas y eléctricas obliga a modificar los recorridos.
Luego de semanas de no atender el tema, lo que generó críticas de usuarios y usuarias de MiBici, el Congreso de Jalisco aprobó que los primeros 15 minutos de uso de las bicicletas eléctricas no generen cobro por desanclaje y que después se mantenga la tarifa de dos pesos por minuto adicional. Ahora queda pendiente su oficialización.
GR"
3,UDGTV,04-09-26,Eliminan el cobro de 10 pesos por desanclaje de bicis eléctricas en la ciudad,trafilatura,trafilatura,1862,0.5,https://udgtv.com/noticias/eliminan-cobro-10-pesos-por-desanclaje-de-bicis-electricas/330578,,"Guadalajara, Jalisco.
El Congreso local aprobó eliminar el cobro de 10 pesos por desanclaje de las bicis eléctricas del programa Mi Bici y amplió a 15 minutos el tiempo sin cobro para los usuarios.
La tarifa de 2 pesos por minuto en el uso de las bicis eléctricas, comenzará a aplicarse después de 15 minutos de recorrido, informó la diputada de MC, Gabriela Cárdenas, presidenta de la Comisión de Hacienda.
""Serán 15 minutos y eso es a propuesta de modificación buscando tener un equilibrio entre distintas propuestas, sin que se pierda el objetivo y la esencia de la razón por la cual se promueve el desanclaje y por la cual se promueve Mi Bici pública.
Eso sí mantiene (el cobro de dos pesos por minuto), después del minuto 15 se cobra de manera regular, pero los primeros 15 minutos son gratuitos"", explicó.
Esta condonación del desanclaje de las bicis eléctricas será vigente a partir de la publicación de la reforma a la Ley de Ingresos 2026 del gobierno de Jalisco, en el periódico oficial, lo que podría ocurrir la siguiente semana.
""Decía el decreto que un día después de su publicación, se aprueba hoy, esperamos que la puedan publicar a la brevedad. Esto era una urgencia del Ejecutivo, es un tema prioritario y es un tema que también estaban exigiendo distintos colectivos"", dijo.
- La legisladora de Morena, Candelaria Ochoa, propuso que el tiempo sin cobro en el uso de las bicis eléctricas se ampliara hasta los 30 minutos, sin embargo, quedó en 15 minutos sin cobro.
- Eliminan el cobro de 10 pesos por desanclaje de bicis eléctricas en la ciudad- 04 septiembre, 2026
- Por cuarta vez, el Congreso rechazó el derecho de infancias trans a cambiar su acta de nacimiento- 04 septiembre, 2026
- Muere Raymundo Gómez Flores, empresario y padre de la actual coordinadora del Consejo Asesor de Desarrollo Económico, Altagracia Gómez- 03 septiembre, 2026"
4,Canal 44,02-09-26,Crónica del día | Estrena Mi Bici unidades eléctricas .. y cobros extra,trafilatura,trafilatura,221,0.91,https://www.youtube.com/watch?v=jYDAQhkeu6Y,,"Acerca de
Prensa
Derechos de autor
Comunicarte con nosotros
Creadores
Anunciar
Desarrolladores
Condiciones
Privacidad
Políticas y seguridad
Cómo funciona YouTube
Prueba funciones nuevas
NFL Sunday Ticket
© 2026 Google LLC"
5,Notisistema,01-09-26,Congreso perfila eliminar cobro por desanclaje de bicicletas eléctricas de MiBici,trafilatura,trafilatura,981,0.21,https://www.notisistema.com/noticias/congreso-perfila-eliminar-cobro-por-desanclaje-de-bicicletas-electricas-de-mibici/,,"El Congreso de Jalisco alista la votación de una reforma para eliminar el cobro de 10 pesos por el desanclaje de las bicicletas eléctricas del sistema MiBici, con el objetivo de incentivar el uso de este medio de transporte.
La presidenta de la Mesa Directiva del Congreso, Alondra Fausto, informó que el dictamen será sometido a segunda lectura y adelantó que votará a favor de la modificación.
""Son los 10 pesos del desanclaje más lo que te cobran por tiempo, a final de cuentas sí se hace un monto considerable, al ciclista no le es rentable seguir usando el transporte de MiBici. En redes sociales nos pidieron el apoyo la sociedad civil organizada de subir el tema. Si todo sale bien, el jueves va a salir. Lo único con lo que yo me puedo comprometer es con dar mi voto a favor"".
La diputada Gabriela Cárdenas, de Movimiento Ciudadano, también anunció su respaldo al dictamen, que plantea modificar la Ley de Ingresos del Estado para eliminar este cobro. (Por Marck Hernández)"
6,Crónica Jalisco,08-31-26,"Diputados del PRI, PAN y MC avalan quitar cobro de 10 en bicis eléctricas",trafilatura,trafilatura,1963,0.99,https://www.cronica.com.mx/jalisco/guadalajara/2026/08/31/diputados-del-pri-pan-y-mc-avalan-quitar-cobro-de-10-en-bicis-electricas/#google_vignette,,"Las bancadas del PAN, del PRI y de MC en el Congreso han expresado su voto favorable a que se elimine de la Ley de Ingresos 2026 del Gobierno de Jalisco, el cobro de 10 pesos por desanclaje de bicicletas eléctricas del programa Mi Bici.
La diputada de MC Gabriela Cárdenas, presidenta de la Comisión de Hacienda, recordó que desde el 9 de julio, la reforma a la Ley de Ingresos se presentó a primera lectura del Pleno, por lo que este próximo jueves 3 de septiembre, el dictamen se puede presentar a votación.
""Esta es una iniciativa del gobernador que envió hace dos meses para solicitar que se condonara los 10 pesos por el desanclaje de las bicis eléctricas, buscando promover el uso de la movilidad y el uso de esas bicis que fueron modernizadas, que se compraron nuevas bicicletas, entonces, nosotros confiamos en que en la próxima sesión pueda aprobarse y los usuarios de Mi Bici puedan tener ese beneficio"", explicó Cárdenas.
La diputada del PRI y presidenta del Congreso, Alondra Fausto, confirmó su voto favorable a la propuesta y dijo que el tema debe ponerse a discusión y a votación de los 38 legisladores, en la próxima sesión de este jueves.
""Algo que yo les comentaba en las redes sociales que muchas de las demandas eran 'presidenta dale solución a ese tema'. Dentro de mis facultades está subir el dictamen, está en tiempo y forma aún cuando se atravesó el periodo inhábil del Congreso, pero el que yo suba el dictamen en segunda lectura no garantiza que esto vaya a salir a favor, sin embargo, siendo responsable de lo que es mi voto, yoles garantice que iría a favor de este dictamen"", precisó.
El tema se revisó en la Junta de Coordinación Política (Jucopo) y todo parece indicar que se votará por el pleno el 3 de septiembre, según relató el diputado del PAN, Julio Hurtado Luna, quien apoya la medida.
Colectivos de ciclistas piden que el cobro de diez pesos por el uso de los primeros 10 minutos de las unidades eléctricas, quede eliminado."
7,Mural,08-31-26,"Controlan, gracias a GPS, extracción ilegal de Mi Bici",trafilatura,trafilatura,541,0.96,https://www.mural.com.mx/controlan-gracias-a-gps-extraccion-ilegal-de-mi-bici/ar3267061?v=4,,"COMUNIDAD
01 MIN 00 SEG
Adán Padilla
Guadalajara, México (31 agosto 2026) .-05:00 hrs
Gracias al sistema GPS y a la tecnología en las bicicletas eléctricas de Mi Bici, la Agencia Metropolitana de Infraestructura para la Movilidad ha recuperado ocho unidades que no fueron regresadas. Crédito: Archivo
Gracias al sistema GPS y a la tecnología incorporada en las bicicletas eléctricas de Mi Bici, la Agencia Metropolitana de Infraestructura para la Movilidad (AMIM) ha logrado recuperar ocho unidades que no fueron regresadas a las estaciones."
8,Canal 44,08-31-26,Mi Bici ofrece corregir cobros indebidos,trafilatura,trafilatura,221,0.99,https://www.youtube.com/watch?v=A0-4WiYTN-w,,"Acerca de
Prensa
Derechos de autor
Comunicarte con nosotros
Creadores
Anunciar
Desarrolladores
Condiciones
Privacidad
Políticas y seguridad
Cómo funciona YouTube
Prueba funciones nuevas
NFL Sunday Ticket
© 2026 Google LLC"
9,NTR Guadalajara,08-29-26,Urgen a publicar reforma en movilidad,trafilatura,trafilatura,2530,0.2,https://www.ntrguadalajara.com/post.php?id_nota=249113,,"A una semana de que el Congreso de Jalisco aprobara sancionar la intimidación vial, la reforma todavía no llega a las calles. Bicicleta Blanca exigió al gobernador Pablo Lemus publicar el decreto y a las autoridades estatales y municipales preparar los mecanismos para recibir denuncias y aplicar las nuevas sanciones contra quienes utilicen sus vehículos para perseguir, amedrentar o presionar a peatones y ciclistas. El colectivo advirtió que la aprobación legislativa es apenas una ""victoria parcial"" si la medida queda en el papel.
En un posicionamiento difundido este viernes durante su manifestación mensual, el colectivo consideró que la aprobación de la reforma a la Ley de Movilidad y Transporte representa un avance para que peatones y ciclistas puedan trasladarse de manera segura, pero señaló que se trata apenas de una ""victoria parcial"" mientras las autoridades no establezcan las condiciones para hacerla efectiva.
Bicicleta Blanca señaló que la intimidación vial es una conducta cotidiana para peatones y ciclistas, y sostuvo que su reconocimiento en la legislación puede contribuir a que las calles sean más seguras y a que más personas encuentren en la bicicleta una alternativa viable de transporte.
Sin embargo, el colectivo exigió al gobernador Pablo Lemus publicar el decreto en el Periódico Oficial 'El Estado de Jalisco' y advirtió que, mientras esto no ocurra, la reforma no podrá avanzar hacia su aplicación.
Además, solicitó que la Secretaría de Transporte, la Secretaría de Seguridad y los municipios se capaciten sobre las nuevas disposiciones y diseñen mecanismos para recibir denuncias y aplicar las sanciones administrativas.
El llamado se dio en el marco de la movilización mensual en distintas vialidades de la ciudad para exigir que se retome la agenda de movilidad ciclista, particularmente mediante la construcción de infraestructura segura y la implementación de medidas de control de velocidad.
De acuerdo con cifras del propio colectivo, durante 2026 han muerto ocho ciclistas en Jalisco; 21 han fallecido durante la actual administración estatal y suman 352 desde 2009.
La reforma, aprobada con 31 votos, sanciona el uso de vehículos para intimidar a peatones y ciclistas. Incluye perseguirlos, aproximarse abruptamente, simular una embestida o usar de forma persistente el claxon y las luces para obligarlos a ceder el paso.
Las sanciones van de 24 a 36 horas de arresto administrativo, con posibilidad de conmutarlo por 90 horas de trabajo comunitario y un curso de sensibilización.
jl/I"
