,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
1,Lider 919,28/12/2020,Este año fallecieron 13 ciclistas en el AMG,error,error,0,5.23,https://lider919.com/este-ano-fallecieron-13-ciclistas-en-el-amg,HTTP 404,
3,Notisistema,16/12/2020,El mal estado de la ciclovía en avenida México,playwright,playwright,252,6.38,https://www.notisistema.com/noticias/el-mal-estado-de-la-ciclovia-en-avenida-mexico/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
5,Notisistema,09/12/2020,Instalan material antiderrapante en ciclovía de 8 de Julio,playwright,playwright,252,5.49,https://www.notisistema.com/noticias/instalan-material-antiderrapante-en-ciclovia-de-8-de-julio/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
8,Lider 919,01/12/2020,"Por obras públicas, cerrarán durante cuatro meses los carriles laterales de Avenida Las Torres y Mariano Otero",error,error,0,3.93,https://lider919.com/por-obras-publicas-cerraran-durante-cuatro-meses-los-carriles-laterales-de-avenida-las-torres-y-mariano-otero,HTTP 404,
12,UDGTV,29/11/2020,"No se acatan medidas sanitarias en Vía RecreActiva, denuncian usuarios",playwright,playwright,113,5.53,https://udgtv.com/noticias/no-se-acatan-medidas-sanitarias-via-recreactiva-denuncian-usuarios/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
14,UDGTV,22/11/2020,Vía RecreActiva continúa con filtros y medidas sanitarias,playwright,playwright,113,5.1,https://udgtv.com/noticias/via-recreactiva-continua-filtros-medidas-sanitarias/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
30,Notisistema,18/10/2020,"Vía RecreActiva: aceptan mejor los filtros sanitarios, pero bajan los paseantes",playwright,playwright,252,6.48,https://www.notisistema.com/noticias/via-recreactiva-aceptan-mejor-los-filtros-sanitarios-pero-bajan-los-paseantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
37,Notisistema,25/09/2020,Realizan diagnóstico de la movilidad ciclista en la ciudad,playwright,playwright,252,5.0,https://www.notisistema.com/noticias/realizan-diagnostico-de-la-movilidad-ciclista-en-la-ciudad/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
38,Notisistema,25/09/2020,Plantan árboles en camellón de avenida Guadalupe,playwright,playwright,252,4.87,https://www.notisistema.com/noticias/plantan-arboles-en-camellon-de-avenida-guadalupe/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
39,Mural,25/09/2020,Requiere Congreso a Alcaldes mayor seguridad para ciclistas,playwright,playwright,147,11.21,https://www.mural.co/requiere-congreso-a-alcaldes-mayor-seguridad-para-ciclistas/ar2037510?v=2,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
40,Cronica Jalisco,21/09/2020,"En el Día Mundial sin Auto, organizaciones civiles predican con el ejemplo y la campaña Mis Primeras Rodadas",error,error,0,140.0,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-en_el_dia_mundial_sin_auto_organizaciones_civiles_predican_con_el_ejemplo_con_campana_mis_primeras_rodadas-103931-2020 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06be433890>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
44,UDGTV,16/09/2020,No sancionarán a usuarios por problemas con MiBici,playwright,playwright,113,7.06,https://udgtv.com/noticias/no-sancionaran-usuarios-problemas-mibici/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
46,Lider 919,14/09/2020,"Tras licitación irregular, se queda BKT con operación de Mi Bici",error,error,0,3.74,https://lider919.com/tras-licitacion-irregular-se-queda-bkt-con-operacion-de-mi-bici/,HTTP 404,
51,Mural,12/09/2020,Restablecen operación de MiBici; ganó BKT,playwright,playwright,147,7.44,https://www.mural.co/restablecen-operacion-de-mibici-gano-bkt/ar2029045?v=7,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
56,Lider 919,10/09/2020,"Disputa Mi Bici, socio del secretario de Desarrollo Económico",error,error,0,4.77,https://lider919.com/disputa-mi-bici-socio-del-secretario-de-desarrollo-economico/,HTTP 404,
57,Mural,10/09/2020,Pagarán por vandalizar ciclovía,playwright,playwright,147,7.47,https://www.mural.co/pagaran-por-vandalizar-ciclovia/ar2027953,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
59,Reporte indigo,09/09/2020,LA CAÍDA DEL PROGRAMA MIBICI EN GUADALAJARA,playwright,playwright,711,4.19,https://www.reporteindigo.com/reporte/la-caida-del-programa-mibici-en-guadalajara-contratos-concesiones-cargo-servicio/,HTTP 403,"Lo sentimos pero tu petición ha sido bloqueada por razones de seguridad. Esto puede deberse al uso de una VPN o visitas desde países que no están permitidos.

Si consideras que esto es un error, por favor, escríbenos desdeeste formularioindicando tu correo. Gracias.

We are sorry but your request has been blocked. This may be due to using a VPN or visiting from countries that are not allowed.

If you think this is an error, please send us an email fromthis formwith your email address. Thanks.

Lamentamos mas o seu pedido foi bloqueado. Isso pode ser devido ao uso de VPN ou à visita de países não permitidos.

Se você acha que isso é um erro, envie-nos uma mensagem a partirdeste formuláriocom seu e-mail."
64,Lider 919,07/09/2020,Licitación cancelada de Mi Bici provoca deficiencia en el servicio y afecta a usuarios,error,error,0,4.91,https://lider919.com/licitacion-cancelada-de-mi-bici-provoca-deficiencia-en-el-servicio-y-afecta-a-usuarios/,HTTP 404,
65,Cronica Jalisco,07/09/2020,Operación del sistema MiBici será restablecida en su totalidad en los próximos días,error,error,0,139.06,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-operacion_del_sistema_mibici_sera_restablecida_en_su_totalidad_en_los_proximos_dias-103386-2020 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06bf40afd0>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
67,UDGTV,07/09/2020,Ciclistas denuncian asaltos en plena avenida Niños Héroes,playwright,playwright,113,4.39,https://udgtv.com/noticias/ciclistas-denuncian-asaltos-plena-avenida-ninos-heroes/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
68,Mural,06/09/2020,Ponchan fallas a red de MiBici,playwright,playwright,147,10.03,https://www.mural.co/ponchan-fallas-a-red-de-mibici/ar2024590?v=2,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
69,Mural,06/09/2020,Roban cuchilleros a ciclistas en ciclovía en Niños Héroes,playwright,playwright,147,6.11,https://www.mural.co/roban-cuchilleros-a-ciclistas-en-ciclovia-en-ninos-heroes/ar2024933,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
72,Mural,03/09/2020,Asaltan a ciclistas en Pueblo Quieto,playwright,playwright,147,10.83,https://www.mural.co/asaltan-a-ciclistas-en-pueblo-quieto/ar2023367?v=5,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
77,Mural,16/08/2020,Evidencia grabación a chofer que arrolló a ciclista,playwright,playwright,147,6.49,https://www.mural.co/evidencia-grabacion-a-chofer-que-arrollo-a-ciclista/ar2010778,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
84,Mural,28/07/2020,Justifican ciclovía en camellón,playwright,playwright,147,7.98,https://www.mural.co/justifican-ciclovia-en-camellon/ar1996963?sc=984,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
88,Lider 919,21/07/2020,Demandan organizaciones ciclistas que 9% del crédito de 6 mil 200 MDP se destine a ciclovías,error,error,0,5.0,https://lider919.com/demandan-organizaciones-ciclistas-que-9-del-credito-de-6-mil-200-mdp-se-destine-a-ciclovias/,HTTP 404,
90,Mural,20/07/2020,Piden 9% del crédito para hacer corredores ciclistas,error,error,0,3.56,https://lider919.com/demandan-organizaciones-ciclistas-que-9-del-credito-de-6-mil-200-mdp-se-destine-a-ciclovias/,HTTP 204,
94,Mural,16/07/2020,Urgen terminar en Chapalita,playwright,playwright,147,9.37,https://www.mural.co/urgen-terminar-en-chapalita/ar1988704,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
95,Mural,14/07/2020,Acuerdan ciclovía en Avenida Guadalupe,playwright,playwright,147,8.03,https://www.mural.co/acuerdan-ciclovia-en-avenida-guadalupe/ar1987026,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
96,Mural,13/07/2020,Se recupera MiBici,playwright,playwright,147,7.88,https://www.mural.co/se-recupera-mibici/ar1986924,HTTP 404,"While we can fix your team, we unfortunately can’t do much about this non-existent page. Visit the menu above or the links below to keep exploring."
98,Lider 919,13/07/2020,Con la ciclovía por la derecha en Avenida Guadalupe ganó la ciudad: colectivos ciclistas,error,error,0,5.31,https://lider919.com/con-la-ciclovia-por-la-derecha-en-avenida-guadalupe-gano-la-ciudad-colectivos-ciclistas/,HTTP 404,
99,Cronica Jalisco,13/07/2020,Reanudan obras de ciclovía en avenida Guadalupe; hubo acuerdo con opositores,error,error,0,138.41,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-reanudan_obras_de_ciclovia_en_avenida_guadalupe_hubo_acuerdo_con_opositores-101095-2020 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06bf40b750>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
