medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
El Informador,30/12/2020,"En el abandono, un tramo del parque lineal Patria Sur",trafilatura,trafilatura,11437,0.78,https://www.informador.mx/En-el-abandono-un-tramo-del-parque-lineal-Patria-Sur-l202012300001.html,,"En el abandono, un tramo del parque lineal Patria Sur
La maleza y la basuraÂ dificultan el tránsito en la sección al oriente de la avenida Colón,Â en la colonia López Portillo
Â
La avenida ColÃ³n, en el Sur de la MetrÃ³poli, marca una clara divisiÃ³n del parque lineal Patria Sur.
Hacia el Poniente, en la zona de El Sauz, el sendero luce con pasto verde, bancas, aparatos deportivos y juegos bien cuidados. Hacia el oriente, en la LÃ³pez Portillo, se ve descuidado, con maleza, asÃ como mobiliario y basura que apenas permiten transitar a quienes atraviesan ese espacio.
JosÃ© Luis MÃ©ndez, un vecino de la zona, recorre a diario ambos tramos del parque. âYo estuve cuando reciÃ©n lo pusieron (entre 2016 y 2017) y estaba sÃºper bonito, pero desgraciadamente la misma gente de aquÃ tira mucha basura. Antes regaban y cortaban el pasto, tenÃan hasta un sistema para regar, pero los mismos âmalandrinesâ se robaron todoâ.
Aunque el corredor de la colonia LÃ³pez Portillo le queda mÃ¡s cerca, Ã©l prefiere acudir a ejercitarse al otro extremo.
Las condiciones del corredor de Patria Sur son muy distintas a las del parque lineal de la avenida Pablo Neruda. Este Ãºltimo todavÃa es cuidado por los vecinos, quienes incluso contrataron a una empresa para regarlo.
Pese a esto, el Ayuntamiento de Guadalajara asegura que da mantenimiento a los 35 parques lineales que hay en el municipio.
Asegura GDL que brinda mantenimiento a los senderos
Pese a que este medio documentÃ³ que el parque lineal Patria Sur luce muy descuidado en el tramo que va de la avenida ColÃ³n hacia la vÃa de JesÃºs Michel GonzÃ¡lez, el Ayuntamiento de Guadalajara asegura que da mantenimiento a los 35 parques lineales del municipio.
Carlos HernÃ¡ndez, director de Proyectos del Espacio PÃºblico, recordÃ³ que este espacio fue intervenido en la administraciÃ³n pasada: âestÃ¡ prÃ¡cticamente nuevoâ.
En noviembre de 2016, las autoridades municipales y estatales inauguraron el tramo que va de avenida ColÃ³n hacia Cruz del Sur.
En Ã©ste se construyÃ³ un andador peatonal, una ciclovÃa, se instalaron juegos infantiles, aparatos de gimnasio al aire libre, entre otros.
Ocho meses despuÃ©s, se entregÃ³ la obra que va de ColÃ³n hacia la avenida JesÃºs Michel GonzÃ¡lez.
El mapeo ""TÃº y la Ciudad, por una Guadalajara Tranquila y Ordenada"" del municipio, revelÃ³ que este Ãºltimo tramo se ubica en colonias marcadas en rojo.
Esto quiere decir que el nivel de socializaciÃ³n comunitaria en el lugar es nulo; es decir, no hay convivencia entre los vecinos. TambiÃ©n hay una alta incidencia de delitos como robo a negocios, a vehÃculos e incluso el uso de armas de fuego.
SegÃºn el programa, uno de los factores por los cuales la gente se siente insegura, es por la concentraciÃ³n de pandillas, grupos en las esquinas o espacios pÃºblicos. AdemÃ¡s, la convivencia familiar entre padres e hijos es menor a seis horas por semana.
PROGRAMA
Mejoran la imagen urbana
Como parte del programa âTÃº y la Ciudad por una Guadalajara Tranquila y Ordenadaâ, el Ayuntamiento tapatÃo construyÃ³ un parque lineal sobre la avenida Artesanos, con una inversiÃ³n de 3.4 millones de pesos. Es el Ãºltimo construido por la actual administraciÃ³n, de los 35 que hay en total en el municipio.
El parque se ubica entre las calles Hacienda Santiago y Hacienda de Tala, en la colonia Oblatos, donde se reforzÃ³ la estructura de un muro y se reconstruyeron otros. AdemÃ¡s, se colocÃ³ concreto y adoquÃn, y se instalÃ³ una Ã¡rea lÃºdica, segÃºn informÃ³ el director de Obras PÃºblicas, Francisco Ontiveros BalcÃ¡zar.
TambiÃ©n se habilitaron Ã¡reas verdes e hidrantes para riego, rampas tipo abanico con accesibilidad universal. Se puso pintura sobre los muros, se llevaron a cabo podas sanitarias y se colocÃ³ arbolado.
Otro de los parques lineales construidos en Guadalajara, son el de Pablo Neruda, el camellÃ³n Montevideo, Chapultepec, CircunvalaciÃ³n DivisiÃ³n del Norte, entre otros.
TonalÃ¡, Ãºnico municipio sin parques lineales en la ZMG
Mientras en Guadalajara se han construido 35 parques lineales, en TonalÃ¡ no se ha impulsado este tipo de corredores, segÃºn informÃ³ el Ayuntamiento. Es el Ãºnico municipio de la metrÃ³poli en donde los camellones de sus principales avenidas no han sido intervenidos con mobiliario urbano para la actividad fÃsica y la recreaciÃ³n.
En estos senderos verdes que sirven de esparcimiento, comercio o descanso para quienes los transitan, las autoridades suelen instalar bancas, juegos recreativos, ciclopistas, aparatos para hacer ejercicios, pistas para correr, entre otros.
En la actual administraciÃ³n, en Zapopan se han construido o rehabilitado cinco espacios: en Paseo Atemajac (que continÃºa en construcciÃ³n), en Altagracia-avenida La Mancha y en Aurelio Ortega (que fueron rehabilitados), en Jardines del Vergel y en el Centro de Zapopan. En conjunto con los vecinos se proyecta uno mÃ¡s en Bugambilias.
Ismael JÃ¡uregui, director de Obras PÃºblicas del municipio, informÃ³ que la intervenciÃ³n de estos caminos puede, en algunas zonas, beneficiar a mÃ¡s de 30 mil personas de manera directa e indirecta.
Luis Giachetto Carrillo, investigador de la Universidad de Guadalajara (UdeG) resaltÃ³ que esos espacios pÃºblicos contribuyen a mejorar la calidad del aire, asÃ como la salud fÃsica y mental de la poblaciÃ³n. Sobre todo, durante la pandemia por COVID-19, en la que se ha solicitado a la poblaciÃ³n quedarse en casa.
âLa gente requiere que, si no hay espacio en su vivienda, esto se convierta en alternativa para moverse y tomar el solâ.
VÃa Transparencia, el Ayuntamiento de Tlaquepaque informÃ³ que ha construido tres parques lineales: en MalecÃ³n del RÃo, arroyo La Colorada y el de avenida Artesanos. En este Ãºltimo se realizan obras de ampliaciÃ³n.
Juan Antonio Naranjo, director de Espacios PÃºblicos, informÃ³ que estas rutas pueden beneficiar a mÃ¡s de 80 mil personas. AdemÃ¡s se cuenta con varios proyectos en estudio.
En Tlajomulco solo se tiene el de Paseo de la Fauna, ubicado en la avenida Adolf B. Horn, desde la avenida 1 de mayo hasta Arroyo Seco. Beneficia a cerca de 40 mil personas.
En 2011, cuando se celebraron en Jalisco los Juegos Panamericanos, el Ayuntamiento de Guadalajara y representantes vecinales del Poniente de la ciudad (Providencia Sur y Poniente) inauguraron el Andador Panamericano Pablo Neruda.
Se rehabilitÃ³ el camellÃ³n central de la avenida, se llevaron a cabo obras de sustituciÃ³n del pavimento y la vÃa fue decorada con 11 figuras alusivas a las disciplinas deportivas.
Luego de los Juegos Panamericanos, Ã©ste se quedÃ³ como un parque lineal que actualmente cuenta con una extensiÃ³n de 32 mil 677 metros cuadrados.
A partir de esa experiencia, las autoridades municipales y estatales dieron continuidad a ese tipo de obras para recuperar los espacios pÃºblicos de algunos sectores de la Zona Metropolitana de Guadalajara (ZMG).
CLAVES
Zonas verdes
Obras. La expansiÃ³n de las ciudades hacia lo urbano ha provocado cada vez menos espacios verdes y de recreaciÃ³n para la poblaciÃ³n, mismos que impactan en la salud fÃsica y mental. Por ello, los parques lineales han sido la soluciÃ³n a la falta de lugares de esparcimiento en la metrÃ³poli, de acuerdo con las autoridades municipales.
CaracterÃsticas. En estos espacios verdes se colocan diversos elementos que sirven para el esparcimiento, comercio o descanso para quienes transitan por ellos. Cuentan con bancas, juegos recreativos, ciclopistas, aparatos para hacer ejercicios, pistas para correr y algunos comercios.
Ãreas. Para llevar mÃ¡s espacios recreativos a la ciudadanÃa, asÃ como Ã¡reas verdes en medio de ciudades llenas de autos, ademÃ¡s de los parques lineales, en los municipios tambiÃ©n se construyen los llamados âparques de bolsilloâ y âparkletsâ.
Bolsillo. Los âparques de bolsilloâ se pueden construir en un terreno de hasta 100 metros cuadrados y se compone de pistas peatonales, de cinco a ocho Ã¡reas de juego, bancas y aparatos de gimnasio.
Cambios. El principio de los âparkletsâ o parques en estacionamientos, es tratar de canjear cajones de estacionamiento para que se conviertan en espacios pÃºblicos con Ã¡reas verdes. A diferencia de un parque de bolsillo, Ã©ste no usa espacios residuales sino los cajones destinados para estacionar autos que se encuentran en la vÃa pÃºblica.
Materiales. Las principales caracterÃsticas de los âparkletsâ es que son removibles, usan materiales como madera o reciclables, estructuras de metal o contenedores.
VOZ DEL EXPERTO
âDebe ser un espacio para la convivenciaâ
Luis Giachetto Carrillo, investigador del Departamento de Proyectos ArquitectÃ³nicos del Centro Universitario de Arte, Arquitectura y DiseÃ±o.
Aunque los municipios destacan que los parques lineales deben cumplir con una serie de criterios para ser llamados asÃ, y no sÃ³lo convertirse en camellones con plantas, el investigador de la Universidad de Guadalajara (UdeG) asegurÃ³ que hay algunos, como el de avenida Patria, que no lo cumplen en su totalidad.
En el caso de este corredor, resaltÃ³, sÃ³lo el tramo que va de ColÃ³n hacia Cruz del Sur cuenta con espacios suficientes y las condiciones necesarias para que la ciudadanÃa pueda hacer actividades fÃsicas y recreativas, mientras que la ruta hacia el Oriente se ve descuidada y da la percepciÃ³n de que no es una zona segura.
El acadÃ©mico del Centro Universitario de Arte, Arquitectura y DiseÃ±o (CUAAD) aÃ±adiÃ³ que el tÃ©rmino de parque lineal âse ha devaluado un pocoâ.
SubrayÃ³ que independientemente de que sea un espacio con vegetaciÃ³n, debe ser un sitio para la convivencia. âRespecto a las autoridades, hay un doble discurso: por un lado, rescatan camellones y espacios, pero los que existÃan se estÃ¡n mutilando, muchas veces para hacer otras infraestructuras. Nos cuesta trabajo ver un espacio libreâ.
InsistiÃ³ en que se requiere de mÃ¡s espacios como Ã©stos para brindar un respiro a la ciudadanÃa, sobre todo en la metrÃ³poli donde hay âmucha densidad de construcciÃ³nâ.
TELÃN DE FONDO
Ven lagunas
De acuerdo con ONU-HÃ¡bitat, el distanciamiento fÃsico provocado por la pandemia debido al COVID-19, requiere que las personas tengan Ã¡reas adecuadas en los espacios pÃºblicos.
En una publicaciÃ³n de junio pasado, la organizaciÃ³n mundial destacÃ³ que la expansiÃ³n de las calles puede garantizar el distanciamiento fÃsico posible en las aceras, particularmente en los paÃses en desarrollo. âEn los barrios marginales y los asentamientos informales, los senderos a menudo inadecuados y hacinados dificultan el cumplimiento de los requisitos y soluciones de distanciamiento fÃsico, como colocar agua, instalaciones de saneamiento e higiene en lugares estratÃ©gicos y educar a las personas para que se mantengan lo mÃ¡s lejos posible mientras hacen filaâ.
La crisis de COVID-19, se agrega en el documento, ha puesto de manifiesto varias lagunas en el espacio pÃºblico, incluida la accesibilidad, flexibilidad, diseÃ±o, gestiÃ³n y mantenimiento, conectividad y distribuciÃ³n equitativa en una ciudad. âEn el futuro, necesitamos crear una agenda polÃtica compartida que reÃºna la planificaciÃ³n urbana, el desarrollo comunitario, la arquitectura, la construcciÃ³n ecolÃ³gica y la salud pÃºblicaâ.
En la publicaciÃ³n se destaca que Ã©stos son claves para combatir la propagaciÃ³n del nuevo coronavirus.
Sigue #DebateInformador
Â¿QuÃ© opina del mantenimiento a espacios pÃºblicos en la metrÃ³poli?
Participa en Twitter en el debate del dÃa @informador"
Lider 919,28/12/2020,Este año fallecieron 13 ciclistas en el AMG,error,error,0,5.23,https://lider919.com/este-ano-fallecieron-13-ciclistas-en-el-amg,HTTP 404,
Milenio,27/12/2020,"Desde temprano, tapatíos pasan un rato agradable en la Vía RecreActiva",trafilatura,trafilatura,1602,0.56,https://www.milenio.com/politica/comunidad/guadalajara-pasan-rato-agradable-via-recreactiva,,"Como todos los domingos desde que se reanudaron las actividades en la Vía RecreActiva, grandes y chicos alistaban las ruedas de sus bicicletas para salir a pedalear desde las ocho de la mañana.
Aunque el gobierno de Guadalajara anunció que la Vía RecreActiva, podrá operar con normalidad durante las nuevas medidas de contención, la afluencia de personas no fue la misma comparada con domingos pasados. Este día recibió un aproximado de 35 mil usuarios.
Como parte de los protocolos de higiene fueron instalados dos filtros sanitarios donde se toma la temperatura y se coloca gel antibacterial en la palma de la mano y en los módulos se informa sobre las dudas respecto al covid-19.
El hecho de que el número de personas disminuyera, benefició para que pudieran trasladarse cómodamente de un punto a otro. La Vía RecreActiva no es un espacio para la movilidad no motorizada, también hay quienes utilizan esta ruta para sacar a pasear a sus mascotas o para realizar alguna actividad física, sin embargo, fueron pocos los que optaron por salir.
En punto de las doce del medio día, la Vía RecreAtiva no era ni la mitad de lo que se está acostumbrado a ver, ya que los espacios diseñados para realizar alguna actividad lúdica los domingos, tuvieron que ser acordonados a fin de que no hubiera aglomeraciones.
Fueron muy pocas las personas que prefirieron disfrutar de su viaje con el cubrebocas mal colocado o siemplemente se lo retiraron una vez que salían de los filtros sanitarios.
Por el momento no hubo la necesidad de regresar a alguien a su casa por estar arriba de los 37 grados de temperatura.
JMH"
Notisistema,16/12/2020,El mal estado de la ciclovía en avenida México,playwright,playwright,252,6.38,https://www.notisistema.com/noticias/el-mal-estado-de-la-ciclovia-en-avenida-mexico/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
NTR Guadalajara,14/12/2020,Desaparecen bolardos en Ávila Camacho,trafilatura,trafilatura,877,0.44,https://www.ntrguadalajara.com/post.php?id_nota=159359,,"Al menos 30 bolardos que dividían la avenida Ávila Camacho de la ciclovía ubicada en la misma vialidad ya no están en su sitio. Un recorrido hecho por NTR comprobó lo anterior en varios tramos de la vía.
En la visita al lugar también se observó que otros están semidestruidos.
Este medio recorrió ambos sentidos de la ciclovía que va de La Normal hacia Plaza Patria y detectó que se cuentan por decenas los bolardos faltantes.
Ciclistas criticaron que la situación representa un riesgo latente para quienes viajan por la vía ciclista y locatarios y vecinos de la zona añadieron que la mayoría de los bolardos han sido dañados por automovilistas.
En el sentido de Plaza Patria hacia La Normal los daños son menores que en el sentido opuesto, lo cual se podría deber a que en esta parte de la avenida la ciclovía se divide con bloques de concreto conocidos como quesadillas.
jl/I"
Notisistema,09/12/2020,Instalan material antiderrapante en ciclovía de 8 de Julio,playwright,playwright,252,5.49,https://www.notisistema.com/noticias/instalan-material-antiderrapante-en-ciclovia-de-8-de-julio/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
El Informador,07/12/2020,Acaban con bolardos en ciclovía de Avenida México,trafilatura,trafilatura,2036,0.17,https://www.informador.mx/jalisco/Acaban-con-bolardos-en-ciclovia-de-Avenida-Mexico-20201207-0064.html,,"Acaban con bolardos en ciclovÃa de Avenida MÃ©xico
Automovilistas, principalmente los camioneros y minibuseros, y los motociclistas vuelan los bolardos al chocar de frente o intentar rebasar
Alrededor de 110 bolardos de la ciclovÃa de la Avenida MÃ©xico en Guadalajara en ambos sentidos han desaparecido en el tramo entre Avenida Chapultepec y Los Cubos. EL INFORMADOR / F. Atilano
EL INFORMADOR / F. Atilano
EL INFORMADOR / F. Atilano
EL INFORMADOR / F. Atilano
Alrededor de 110 bolardos de la ciclovÃa de la Avenida MÃ©xico en Guadalajara en ambos sentidos han desaparecido en el tramo entre Avenida Chapultepec y Los Cubos.
Empleados de la zona explicaron que los automovilistas, principalmente los camioneros y minibuseros y los motociclistas vuelan los bolardos al chocar de frente o intentar rebasar.
âYo he recogido este dos veces, lo tumbaron y luego lo pusieron, pero ya lo volvieron a tumbarâ, explicÃ³ un jardinero de la zona que levantaba un bolardo que estaba tiradoâ, explicÃ³ JesÃºs Molina Meza.
DetallÃ³ que algunos automovilistas inclusive se bajan y tumban el bolardo porque les estorba para pasar o estacionarse.
Otro trabajador de la zona explicÃ³ que los bolardos comenzaron a desaparecer desde que los instalaron.
âCuando yo comencÃ© a trabajar por la zona hace un aÃ±o me tocÃ³ ver que habÃa muchos, pero ya quedan pocos, muchos los han tumbado los automovilistas cuando chocan, yo incluso he recogido cuatro cuando barro la banquetaâ, aÃ±adiÃ³ otro jardinero de la zona.
Los ciclistas explicaron que la falta de bolardos provoca accidentes en la ciclo vÃa.
âHemos visto que estÃ¡n tumbando estas cosas, los carros se atraviesan y se los llevan, entonces es un peligro porque te pueden arrollar o con un bolantazo te pegan, es peligro que no tengan los bolardos ya que limita lo que es la ciclovÃa y la carreteraâ, dijo Daniel GonzÃ¡lez, un ciclista.
LS
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
Trafico ZMG,01/12/2020,Anuncian cierre vial en Mariano Otero por construcción de ciclovía ,trafilatura,trafilatura,1391,1.08,https://traficozmg.com/2020/12/anuncian-cierre-vial-en-mariano-otero-por-construccion-de-ciclovia/,,"Anuncian cierre vial en Mariano Otero por construcción de ciclovía
A partir de esta noche se presentará un nuevo cierre vial en las laterales de las avenidas Mariano Otero y Las Torres, por la construcción de una ciclovía, además de obras complementarias.
El corte a la circulación comenzará a las 23:00 horas de este martes 01 de diciembre y se estima que tenga una duración de cuatro meses. Los carriles centrales quedarán abiertos.
Sobre la Avenida Mariano Otero, en los tramos norte y sur se realizarán las siguientes obras:
- Sustitución de instalaciones hidráulicas y sanitarias.
- Pavimentación con concreto hidráulico MR-45 con durabilidad aproximada de 30 años.
- Banquetas con accesibilidad universal.
- Bolardos metálicos.
- Señalética horizontal.
- Forestación.
En Avenida Las Torres Oriente y poniente se hará lo siguiente:
- Sustitución de carpeta asfáltica.
- Bacheo profundo.
- Construcción de guarniciones de concreto hidráulico.
- Banquetas con accesibilidad universal.
- Bolardos metálicos.
- Señalética horizontal.
- Forestación.
La obra, que abarcará 575 metros, tendrá dos frentes y se invertirá una suma total de 86.1 millones de pesos.
Cabe señalar que el cierre será total solo en los laterales, las vías centrales permanecerán abiertas.
GM
Te puede interesar: Cierra noviembre con ligero descenso de casos de COVID-19
Debe estar conectado para enviar un comentario."
Lider 919,01/12/2020,"Por obras públicas, cerrarán durante cuatro meses los carriles laterales de Avenida Las Torres y Mariano Otero",error,error,0,3.93,https://lider919.com/por-obras-publicas-cerraran-durante-cuatro-meses-los-carriles-laterales-de-avenida-las-torres-y-mariano-otero,HTTP 404,
Mural,30/11/2020,Atropellan a ciclista en Zapopan,trafilatura,trafilatura,403,0.74,https://www.mural.com.mx/atropellan-a-ciclista-en-zapopan/ar2081004,,"COMUNIDAD
Gabriel Trujillo
Guadalajara, México (30 noviembre 2020) .-23:21 hrs
Cuando circulaba en su bicicleta por Avenida Las Torres, un hombre de entre 50 y 60 años fue atropellado por un automovilista y murió. Crédito: Gabriel Trujillo
 Cuando circulaba en su bicicleta por Avenida Las Torres, un hombre de entre 50 y 60 años fue atropellado por un automovilista y murió; el causante huyó del lugar."
