Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
En el abandono, un tramo del parque lineal Patria Sur;30/12/2020;El Informador;Bicicleta;Ciclovía;Mantenimiento;https://www.informador.mx/En-el-abandono-un-tramo-del-parque-lineal-Patria-Sur-l202012300001.html
Este año fallecieron 13 ciclistas en el AMG;28/12/2020;Lider 919;Bicicleta;Bicicleta;Siniestralidad;https://lider919.com/este-ano-fallecieron-13-ciclistas-en-el-amg
Desde temprano, tapatíos pasan un rato agradable en la Vía RecreActiva;27/12/2020;Milenio;Bicicleta;Vía recreactiva;Servicio;https://www.milenio.com/politica/comunidad/guadalajara-pasan-rato-agradable-via-recreactiva
El mal estado de la ciclovía en avenida México;16/12/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/el-mal-estado-de-la-ciclovia-en-avenida-mexico/
Desaparecen bolardos en Ávila Camacho;14/12/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=159359
Instalan material antiderrapante en ciclovía de 8 de Julio;09/12/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/instalan-material-antiderrapante-en-ciclovia-de-8-de-julio/
Acaban con bolardos en ciclovía de Avenida México;07/12/2020;El Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/Acaban-con-bolardos-en-ciclovia-de-Avenida-Mexico-20201207-0064.html
Anuncian cierre vial en Mariano Otero por construcción de ciclovía ;01/12/2020;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2020/12/anuncian-cierre-vial-en-mariano-otero-por-construccion-de-ciclovia/
Por obras públicas, cerrarán durante cuatro meses los carriles laterales de Avenida Las Torres y Mariano Otero;01/12/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/por-obras-publicas-cerraran-durante-cuatro-meses-los-carriles-laterales-de-avenida-las-torres-y-mariano-otero
Atropellan a ciclista en Zapopan;30/11/2020;Mural;Bicicleta;Bicicleta;Siniestralidad;https://www.mural.com.mx/atropellan-a-ciclista-en-zapopan/ar2081004
Muere ciclista arrollado en Camino Real a Colima;30/11/2020;Trafico ZMG;Bicicleta;Bicicleta;Siniestralidad;https://traficozmg.com/2020/11/muere-ciclista-arrollado-en-camino-real-a-colima/
Desdeñan el uso del cubrebocas en Vía RecreActiva;29/11/2020;El Occidental;Bicicleta;Vía recreactiva;COVID 19;https://www.eloccidental.com.mx/local/noticias-desdenan-el-uso-del-cubrebocas-en-via-recreactiva-6075467.html
No se acatan medidas sanitarias en Vía RecreActiva, denuncian usuarios;29/11/2020;UDGTV;Bicicleta;Vía recreactiva;COVID 19;https://udgtv.com/noticias/no-se-acatan-medidas-sanitarias-via-recreactiva-denuncian-usuarios/
Con protocolos sanitarios, este domingo regresa la Vía RecreActiva en Guadalajara;22/11/2020;El Occidental;Bicicleta;Vía recreactiva;COVID 19;https://www.eloccidental.com.mx/local/con-protocolos-sanitarios-este-domingo-regresa-la-via-recreactiva-en-guadalajara-6044767.html
Vía RecreActiva continúa con filtros y medidas sanitarias;22/11/2020;UDGTV;Bicicleta;Vía recreactiva;COVID 19;https://udgtv.com/noticias/via-recreactiva-continua-filtros-medidas-sanitarias/
Coronavirus en Jalisco: En su regreso, tapatíos abarrotan la Vía RecreActiva;22/11/2020;El Informador;Bicicleta;Vía recreactiva;COVID 19;https://www.informador.mx/jalisco/Coronavirus-en-Jalisco-En-su-regreso-tapatios-abarrotan-la-Via-RecreActiva--20201122-0045.html
Llenan la Vía RecreActiva;22/11/2020;Mural;Bicicleta;Vía recreactiva;COVID 19;https://www.mural.com.mx/llenan-la-via-recreactiva/ar2075639?v=3
"Regresa la Vía RecreActiva; los filtros, insuficientes";22/11/2020;NTR Guadalajara;Bicicleta;Vía recreactiva;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=158302
Zapopan promete atender fallas en la ciclovía de avenida Guadalupe;20/11/2020;El Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/Zapopan-promete-atender-fallas-en-la-ciclovia-de-Av.-Guadalupe-20201120-0009.html
Vecinos denuncian fallas en ciclovía de Avenida Guadalupe;19/11/2020;El Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/Vecinos-denuncian-fallas-en-ciclovia-de-Avenidas-Guadalupe--20201119-0070.html
Lineamientos para la Vía, aún sin definir;18/11/2020;NTR Guadalajara;Bicicleta;Vía recreactiva;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=158066
Han fallecido 11 ciclistas en 2020;16/11/2020;NTR Guadalajara;Bicicleta;Colectivos ciudadanos;Acciones;https://www.ntrguadalajara.com/post.php?id_nota=157952
A partir de este domingo iniciamos con la Vía Recreativa de Guadalajara: Alfaro;16/11/2020;Trafico ZMG;Bicicleta;Vía recreactiva;COVID 19;https://traficozmg.com/2020/11/a-partir-de-este-domingo-iniciamos-con-la-via-recreativa-de-guadalajara-alfaro/
Ahora falla renovación de pago de MiBici;10/11/2020;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Ahora-falla-renovacion-de-pago-de-MiBici-20201110-0078.html
La ciclovía de Mi Macro Periférico debe formar parte de un proyecto integral para garantizar la seguridad y accesibilidad: Bicicleta Blanca;09/11/2020;Zona docs;Bicicleta;Ciclovía;Infraestructura;https://www.zonadocs.mx/2020/11/09/la-ciclovia-de-mi-macro-periferico-debe-formar-parte-de-un-proyecto-integral-para-garantizar-la-seguridad-y-accesibilidad-bicicleta-blanca/
"Será una ""Bicipista"" la ciclovía de Federalismo: Carlos Romero";08/11/2020;El Occidental;Bicicleta;Ciclovía;Infraestructura;https://www.eloccidental.com.mx/local/noticias-transporte-obras-sera-una-bicipista-la-ciclovia-de-federalismo-carlos-romero-5992228.html
MiBici asegura que restableció sistema de registro y pagos;06/11/2020;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/MiBici-asegura-que-restablecio-sistema-de-registro-y-pagos-20201106-0073.html
Ganan licitación de MiBici y atoran crecimiento de programa;05/11/2020;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Ganan-licitacion-de-MiBici-y-atoran-crecimiento-de-programa--20201105-0012.html
Arrumban' ciclopuerto en Congreso de Jalisco;26/10/2020;Mural;Bicicleta;Ciclopuertos;Infraestructura;https://www.mural.com.mx/arrumban-ciclopuerto-en-congreso-de-jalisco/ar2058055
Congreso de Jalisco aprueba que se reconozca la movilidad como derecho humano;22/10/2020;El Informador;Bicicleta;Ley;Derecho a la movilidad;https://www.informador.mx/jalisco/Congreso-de-Jalisco-aprueba-que-se-reconozca-la-movilidad-como-derecho-humano-20201022-0063.html
Vía RecreActiva: aceptan mejor los filtros sanitarios, pero bajan los paseantes;18/10/2020;Notisistema;Bicicleta;Vìa recreactiva;COVID 19;https://www.notisistema.com/noticias/via-recreactiva-aceptan-mejor-los-filtros-sanitarios-pero-bajan-los-paseantes/
Escasea mantenimiento en el programa MiBici;14/10/2020;Pagina 24;Bicicleta;Bici pública;Servicio;https://pagina24jalisco.com.mx/2020/10/14/local/escasea-mantenimiento-en-el-programa-mibici/
Ciclovía de Av. Guadalupe sigue con opiniones divididas;14/10/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/ciclovia-de-av-guadalupe-sigue-con-opiniones-divididas/188459
Abandonan carril BiciBus sobre la avenida Hidalgo;11/10/2020;EL Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Abandonan-carril-BiciBus-sobre-la-avenida-Hidalgo-20201011-0017.html
Ven abandono de Biciley en Jalisco;04/10/2020;EL Informador;Bicicleta;Bicicleta;Bici ley;https://www.informador.mx/jalisco/Ven-abandono-de-Biciley-en-Jalisco-20201004-0018.html
Zapopanos disfrutan del regreso de la Vía RecreActiva con las medidas adecuadas;04/10/2020;Milenio;Bicicleta;Vía recreactiva;Servicio;https://www.milenio.com/politica/comunidad/zapopan-habitantes-disfrutan-regresar-via-recreactiva
Más de 8 mil personas disfrutan del regreso de la ciclovía de Zapopan;27/09/2020;Milenio;Bicicleta;Vía recreactiva;Servicio;https://www.milenio.com/politica/comunidad/zapopan-8-mil-personas-disfrutan-regreso-ciclovia
Realizan diagnóstico de la movilidad ciclista en la ciudad;25/09/2020;Notisistema;Bicicleta;Bicicleta;Diagnostico;https://www.notisistema.com/noticias/realizan-diagnostico-de-la-movilidad-ciclista-en-la-ciudad/
Plantan árboles en camellón de avenida Guadalupe;25/09/2020;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/plantan-arboles-en-camellon-de-avenida-guadalupe/
Requiere Congreso a Alcaldes mayor seguridad para ciclistas;25/09/2020;Mural;Bicicleta;Planeación;Seguridad;https://www.mural.com/requiere-congreso-a-alcaldes-mayor-seguridad-para-ciclistas/ar2037510?v=2
En el Día Mundial sin Auto, organizaciones civiles predican con el ejemplo y la campaña “Mis Primeras Rodadas;21/09/2020;Cronica Jalisco;Bicicleta;Colectivos ciudadanos;Acciones;https://www.cronicajalisco.com/notas-en_el_dia_mundial_sin_auto_organizaciones_civiles_predican_con_el_ejemplo_con_campana_mis_primeras_rodadas-103931-2020
Vuelven a fallar medidas en la Vía;20/09/2020;NTR Guadalajara;Bicicleta;Vía recreactiva;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=155077
Se restablece en su totalidad el servicio de Mi Bici.;17/09/2020;Canal 44;Bicicleta;Bici pública;Servicio;https://www.youtube.com/watch?v=QhiIagQrZQ0
¡RETOMEMOS LAS CALLES! INVITAN A UNA NUEVA SESIÓN DE LA BICIESCUELA FEMINISTA EN EL MARCO DEL PARK(ING) DAY;17/09/2020;Zona docs;Bicicleta;Colectivos ciudadanos;Acciones;https://www.zonadocs.mx/2020/09/17/retomemos-las-calles-invitan-a-una-nueva-sesion-de-la-biciescuela-feminista-en-el-marco-del-parking-day/
No sancionarán a usuarios por problemas con MiBici;16/09/2020;UDGTV;Bicicleta;Bici pública;Servicio;http://udgtv.com/noticias/no-sancionaran-usuarios-problemas-mibici/
Bici Blanca crea campaña para uso de bicicleta en la metrópoli;15/09/2020;EL Informador;Bicicleta;Colectivos ciudadanos;Acciones;https://www.informador.mx/jalisco/Bici-Blanca-crea-campana-para-uso-de-bicicleta-en-la-metropoli-20200915-0116.html
Tras licitación irregular, se queda BKT con operación de Mi Bici;14/09/2020;Lider 919;Bicicleta;Bici pública;Servicio;https://lider919.com/tras-licitacion-irregular-se-queda-bkt-con-operacion-de-mi-bici/
Fallan filtros sanitarios en el regreso de la Vía;14/09/2020;NTR Guadalajara;Bicicleta;Vía recreactiva;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=154715
Acuden más de tres mil personas a reapertura de la Vía RecreActiva;13/09/2020;EL Informador;Bicicleta;Vía recreactiva;Servicio;https://www.informador.mx/jalisco/Acuden-mas-de-tres-mil-personas-a-reapertura-de-la-Via-RecreActiva-20200913-0045.html
Ciudadanos disfrutan de la Vía RecreActiva en Zapopan;13/09/2020;El Occidental;Bicicleta;Vía recreactiva;Servicio;https://www.eloccidental.com.mx/local/noticias-pandemia-bicis-deporte-ciudadanos-disfrutan-de-la-via-recreactiva-en-zapopan-5754658.html
"Restablecen servicio de MiBici; continúa anterior proveedor";12/09/2020;EL Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Restablecen-servicio-de-MiBici-continua-anterior-proveedor-20200912-0012.html
"Restablecen operación de MiBici; ganó BKT";12/09/2020;Mural;Bicicleta;Bici pública;Servicio;https://www.mural.com/restablecen-operacion-de-mibici-gano-bkt/ar2029045?v=7
"Concesionan servicio MiBici; garantizan operatividad";12/09/2020;NTR Guadalajara;Bicicleta;Bici pública;Servicio;https://www.ntrguadalajara.com/post.php?id_nota=154638
Es hora de pedalear... la Vía RecreActiva regresa en Zapopan;12/09/2020;El Occidental;Bicicleta;Vía recreactiva;Servicio;https://www.eloccidental.com.mx/local/es-hora-de-pedalear...-la-via-recreactiva-regresa-en-zapopan-5751562.html
Concesionan proyecto MiBici a antigua proveedora;11/09/2020;EL Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Licitan-el-proyecto-MiBici-a-empresa-de-siempre-20200911-0102.html
Reponen licitación de Mi Bici y queda mismo proveedor;11/09/2020;Meganoticias;Bicicleta;Bici pública;Servicio;https://www.meganoticias.mx/guadalajara/noticia/reponen-licitacion-de-mi-bici-y-queda-mismo-proveedor/179643
Disputa “Mi Bici”, socio del secretario de Desarrollo Económico;10/09/2020;Lider 919;Bicicleta;Bici pública;Varios;https://lider919.com/disputa-mi-bici-socio-del-secretario-de-desarrollo-economico/
Pagarán por vandalizar ciclovía;10/09/2020;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com/pagaran-por-vandalizar-ciclovia/ar2027953
Licitación fallida atora planes para crecer programa MiBici;09/09/2020;El Informador;Bicicleta;Bici pública;Varios;https://www.informador.mx/jalisco/Licitacion-fallida-atora-planes-para-crecer-programa-MiBici--20200909-0027.html
LA CAÍDA DEL PROGRAMA MIBICI EN GUADALAJARA;09/09/2020;Reporte indigo;Bicicleta;Bici pública;Varios;https://www.reporteindigo.com/reporte/la-caida-del-programa-mibici-en-guadalajara-contratos-concesiones-cargo-servicio/
Vía Recreactiva en Zapopan aun no debe iniciar operaciones según encuesta;09/09/2020;Trafico ZMG;Bicicleta;Vía recreactiva;COVID 19;https://traficozmg.com/2020/09/via-recreactiva-en-zapopan-aun-no-debe-iniciar-operaciones-segun-encuesta/
Este domingo reinicia la Vía RecreActiva, pero solo en Zapopan;08/09/2020;EL Informador;Bicicleta;Vía recreactiva;Servicio;https://www.informador.mx/jalisco/Este-domingo-reinicia-la-Via-RecreActiva-pero-solo-en-Zapopan-20200908-0064.html
MiBici, con fallas y en problemas;07/09/2020;NTR Guadalajara;Bicicleta;Bici pública;Servicio;https://www.ntrguadalajara.com/post.php?id_nota=154368
