Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link;
Reduce afluencia de visitantes a la Vía RecreActiva en el último domingo del 2023;31/12/2023;El Occidental;Bicicleta;Vía recreactiva;Varios;https://www.eloccidental.com.mx/local/reduce-afluencia-de-visitantes-a-la-via-recreactiva-en-el-ultimo-domingo-del-2023-11220177.html;
Piden 24 colectivos al ayuntamiento de Zapopan continuar proyecto de remodelación de la avenida Copérnico;29/12/2023;Lider 919;Bicicleta;Ciclovía;Acciones ciudadanas;https://lider919.com/piden-24-colectivos-al-ayuntamiento-de-zapopan-continuar-proyecto-de-remodelacion-de-la-avenida-copernico/;
Vecinos de Paseos del Sol inconformes por obra vial | Imagen GDL con Fabiola Anaya;23/12/2023;Canal 44;Bicicleta;Ciclovía;Oposición;https://www.youtube.com/watch?v=rTvICkn_ez8;
Habrá Vía RecreActiva el 24 y 31 de diciembre;23/12/2023;NTR Guadalajara;Bicicleta;Vía recreactiva;Varios;https://www.ntrguadalajara.com/post.php?id_nota=207688;
Suspenden ciclovía en Copérnico, Zapopan por desaprobación de los vecinos;21/12/2023;Milenio;Bicicleta;Ciclovía;Oposición;https://www.milenio.com/politica/comunidad/zapopan-suspenden-ciclovia-copernico-desaprobacion-vecinos;
Suspenden construcción de ciclovía en avenida Copérnico, Zapopan, por desaprobación de los vecinos;21/12/2023;Telediario;Bicicleta;Ciclovía;Oposición;https://www.telediario.mx/comunidad/construccion-ciclovia-avenida-copernico-zapopan-suspendida;
Protestan contra ciclovía y obras en Paseos del Sol;15/12/2023;NTR Guadalajara;Bicicleta;Ciclovía;Oposición;https://www.meganoticias.mx/guadalajara/noticia/protestan-contra-ciclovia-y-obras-en-paseos-del-sol/483837;
Cuándo es la rodada navideña organizada por MiBici Pública Guadalajara;12/12/2023;Telediario;Bicicleta;Bici pública;Rodada;https://www.telediario.mx/comunidad/mibici-publica-en-guadalajara-tendra-una-rodada-navidena;
Vecinos de Zapopan se oponen a construcción de ciclovía en avenida Copérnico;11/12/2023;Milenio;Bicicleta;Ciclovía;Oposición;https://www.milenio.com/politica/comunidad/ciclovia-zapopan-vecinos-paseos-sol-oponen-obras;
Zapopan gastará 11 mil 545 MDP en 2024;09/12/2023;Lider 919;Bicicleta;Ciclovía;Presupuesto;https://lider919.com/zapopan-gastara-de-11-mil-545-millones-de-pesos-en-2024/;
Se iguala cifra de 2022 de ciclistas fallecidos ;08/12/2023;Trafico ZMG;Bicicleta;Siniestralidad;Registro;https://traficozmg.com/2023/12/se-iguala-cifra-de-2022-de-ciclistas-fallecidos-en-la-zmg/;
Presumen expansión de MiBici;05/12/2023;Mural;Bicicleta;Bici pública;Varios;https://www.mural.com.mx/presumen-expansion-de-mibici/ar2721632;
Van 15 ciclistas muertos en 2023;04/12/2023;NTR Guadalajara;Bicicleta;Siniestralidad;Varios;https://www.ntrguadalajara.com/post.php?id_nota=206792;
Se espera un mejoramiento del programa 'MiBici';04/12/2023;El Occidental;Bicicleta;Bici pública;Varios;https://www.eloccidental.com.mx/local/se-espera-un-mejoramiento-del-programa-mibici-11095632.html;
La avenida Copérnico será beneficiada por una ciclovía | Imagen GDL con Fabiola Anaya;04/12/2023;Canal 44;Bicicleta;Ciclovía;Varios;https://www.youtube.com/watch?v=inupHxlgeYU;
Vía Recreactiva cumple 19 años y le entregan distintivo de oro en Guadalajara;03/12/2023;Milenio;Bicicleta;Vía recreactiva;Varios;https://www.milenio.com/politica/comunidad/guadalajara-via-recreactiva-cumple-19-anos;
El sistema de transporte MiBici cumple 9 años;02/12/2023;Meganoticias;Bicicleta;Bici pública;Varios;https://www.meganoticias.mx/guadalajara/noticia/el-sistema-de-transporte-mibici-cumple-9-anos/480902;
Confirman que avenida Copérnico tendrá ciclovía;30/11/2023;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/confirman-que-avenida-copernico-tendra-ciclovia/;
Mejorar la movilidad y hacer ciudades máshumanas: Objetivos de Jalisco en dos ruedas;29/11/2023;El Informador;Bicicleta;Varios;Varios;https://www.informador.mx/jalisco/Mejorar-la-movilidad-y-hacer-ciudades-mashumanas-Objetivos-de-Jalisco-en-dos-ruedas-20231128-0119.html;
Renovarán con Plan Maestro el sistema MiBici para ampliar cobertura en el AMG;29/11/2023;Crónica Jalisco;Bicicleta;Bici pública;Varios;https://www.cronicajalisco.com/notas-renovaran_con_plan_maestro_el_sistema_mibici_para_ampliar_cobertura_en_el_amg-124411-2023#google_vignette;
Expansión de MiBici, sólo en 29 colonias;28/11/2023;NTR Guadalajara;Bicicleta;Bici pública;Infraestructura;https://ntrguadalajara.com/post.php?id_nota=206510;
Impulsa Biciescuela la Dirección de Movilidad;15/11/2023;NTR Guadalajara;Bicicleta;Educación;Bici escuela;https://www.ntrguadalajara.com/post.php?id_nota=205979;
Harán ciclovía en Avenida Copérnico;15/11/2023;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com.mx/haran-ciclovia-en-avenida-copernico/ar2711645;
Mi Bici Pública crece en cobertura y llegará a 29 colonias;14/11/2023;Milenio;Bicicleta;Bici pública;Infraestructura;https://www.milenio.com/politica/comunidad/mi-bici-publica-nuevas-estaciones-y-colonias-que-se-amplia;
Para finales de noviembre estará lista la quinta etapa de Mi Bici Pública: Alfaro;13/11/2023;Lider 919;Bicicleta;Bici pública;Infraestructura;https://lider919.com/para-finales-de-noviembre-estara-lista-la-quinta-etapa-de-mi-bici-publica-alfaro/;
