Nota,Fecha,Medio,Tema,Subtema,Sub-subtema,Link
Eliminan cobro por desanclaje de MiBici eléctrica,10-09-26,NTR Guadalajara,Bicicleta,Bici pública,Cobros,https://www.ntrguadalajara.com/post.php?id_nota=249706
Ciclistas buscan proyecto de ciclovía escénica en Puerto Vallarta; se manifestarán sobre ruedas,07-09-26,Tribuna de la bahia,Bicicleta,Ciclovía,Denuncia,https://tribunadelabahia.com.mx/buscan-ciclovia-escenica-vallarta/
Celebran eliminación de cobro en MiBici,07-09-26,NTR Guadalajara,Bicicleta,Bici pública,Cobros,https://www.ntrguadalajara.com/post.php?id_nota=249500
Eliminan el cobro de 10 pesos por desanclaje de bicis eléctricas en la ciudad,04-09-26,UDGTV,Bicicleta,Bici pública,Cobros,https://udgtv.com/noticias/eliminan-cobro-10-pesos-por-desanclaje-de-bicis-electricas/330578
Crónica del día | Estrena Mi Bici unidades eléctricas .. y cobros extra,02-09-26,Canal 44,Bicicleta,Bici pública,Varios,https://www.youtube.com/watch?v=jYDAQhkeu6Y
Congreso perfila eliminar cobro por desanclaje de bicicletas eléctricas de MiBici,01-09-26,Notisistema,Bicicleta,Bici pública,Cobros,https://www.notisistema.com/noticias/congreso-perfila-eliminar-cobro-por-desanclaje-de-bicicletas-electricas-de-mibici/
"Diputados del PRI, PAN y MC avalan quitar cobro de 10 en bicis eléctricas",08-31-26,Crónica Jalisco,Bicicleta,Bici pública,Çobro,https://www.cronica.com.mx/jalisco/guadalajara/2026/08/31/diputados-del-pri-pan-y-mc-avalan-quitar-cobro-de-10-en-bicis-electricas/#google_vignette
"Controlan, gracias a GPS, extracción ilegal de Mi Bici",08-31-26,Mural,Bicicleta,Bici pública,Robos,https://www.mural.com.mx/controlan-gracias-a-gps-extraccion-ilegal-de-mi-bici/ar3267061?v=4
Mi Bici ofrece corregir cobros indebidos,08-31-26,Canal 44,Bicicleta,Bici pública,Varios,https://www.youtube.com/watch?v=A0-4WiYTN-w
Urgen a publicar reforma en movilidad,08-29-26,NTR Guadalajara,Bicicleta,Inseguridad,Congreso,https://www.ntrguadalajara.com/post.php?id_nota=249113
Usuarios podrán reclamar cobros indebidos de Mi Bici,08-29-26,El Occidental,Bicicleta,Bici pública,Cobros,https://oem.com.mx/eloccidental/local/usuarios-podran-reclamar-cobros-indebidos-de-mi-bici-31797573
Asegura Bicicleta Blanca que reforma contra intimidación vial sigue en papel,08-28-26,NTR Guadalajara,Bicicleta,Inseguridad,Congreso,https://www.ntrguadalajara.com/post.php?id_nota=249089
Así puedes registrarte a la Vía Nocturna Zapopan del 27 de agosto,08-21-26,El Informador,Bicicleta,Vía recreactiva,Varios,https://www.informador.mx/jalisco/via-nocturna-zapopan-asi-puedes-registrarte-para-asistir-el-27-de-agosto-20260821-0071.html
Piden que se garanticen bicis mecánicas a usuarios del programa Mi Bici,08-21-26,UDGTV,Bicicleta,Bici pública,Denuncia,https://udgtv.com/noticias/piden-garantizar-bicis-mecanicas-a-usuarios-de-mi-bici-/329179
Exigen a Setran cifra de ciclistas fallecidos,08-20-26,NTR Guadalajara,Bicicleta,Siniestralidad,Transporte público,https://www.ntrguadalajara.com/post.php?id_nota=248749
Congreso de Jalisco aprueba sanciones por intimidación vial,08-20-26,El Informador,Bicicleta,Ley,Congreso,https://www.informador.mx/jalisco/congreso-de-jalisco-aprueba-sanciones-por-intimidacion-vial-20260820-0184.html
Prevén que se apruebe arresto administrativo de hasta 36 horas a acosadores de ciclistas,08-17-26,Canal 44,Bicicleta,Ley,Congreso,https://www.youtube.com/watch?v=T3jOf5o0Esw
Hombre Cae de su Bici Eléctrica y se Fractura a Causa del Mal Estado de la Ciclovía,08-13-26,Nmas,Bicicleta,Bici pública,Siniestralidad,https://www.nmas.com.mx/jalisco/seguridad/accidentes/hombre-cae-de-su-bici-electrica-y-se-fractura-a-causa-del-mal-estado-de-la-ciclovia/
Impulsa morenista regreso de bicicletas mecánicas,11-08-26,Mural,Bicicleta,Bici pública,Bicis,https://www.mural.com.mx/impulsa-morenista-regreso-de-bicicletas-mecanicas/ar3255680
"¿Cuáles son los riesgos de la Vía RecreActiva, según usuarios?",10-08-26,El Informador,Bicicleta,Vía recreactiva,Inseguridad,https://www.informador.mx/jalisco/cuales-son-los-riesgos-de-la-via-recreactiva-segun-usuarios-20260810-0053.html
Usuarios identifican riesgos en la Vía RecreActiva; emiten recomendaciones para disfrutarla con seguridad,09-08-26,El Informador,Bicicleta,Vía recreactiva,Inseguridad,https://www.informador.mx/jalisco/via-recreactiva-usuarios-identifican-riesgos-y-emiten-recomendaciones-para-disfrutarla-con-seguridad-20260809-0075.html
"Crónica del día I Bicis eléctricas, una novedad poco disponible",04-08-26,Canal 44,Bicicleta,Bici pública,Electromovilidad,https://www.youtube.com/watch?v=YOaUyKh5y5A
Se triplica robo de bicicletas del sistema Mi Bici,04-08-26,UDGTV,Bicicleta,Bici pública,Robos,https://udgtv.com/noticias/se-triplica-robo-de-bicicletas-del-sistema-mi-bici/327121
Denuncian rapiña de equipo a nuevas bicicletas eléctricas de Mi Bici,04-08-26,UDGTV,Bicicleta,Bici pública,Daños,https://udgtv.com/noticias/denuncian-rapina-de-equipo-a-nuevas-bicicletas-de-mi-bici/327159
Usuarios de Ciclovía de Federalismo Señalan Robos,03-08-26,Página 24 Jalisco,Bicicleta,Inseguridad,Robos,https://pagina24jalisco.com.mx/2026/08/03/local/usuarios-de-ciclovia-de-federalismo-senalan-robos/
Bien de Noche reúne a 130 mil personas en Guadalajara con actividades gratuitas por el regreso a clases,02-08-26,El Informador,Bicicleta,Vía recreactiva,Sábado,https://www.informador.mx/jalisco/bien-de-noche-reune-a-130-mil-personas-en-guadalajara-con-actividades-gratuitas-por-el-regreso-a-clases-20260802-0069.html
Bicis eléctricas llegarán a Tlajomulco con prueba piloto,02-08-26,Quadratin,Bicicleta,Bici +,Varios,https://jalisco.quadratin.com.mx/sucesos/bicis-electricas-llegaran-a-tlajomulco-con-prueba-piloto/
En Tlajomulco impulsan movilidad mediante bicicletas eléctricas; cuya suscripción mensual costaría 500 pesos,02-08-26,El Occidental,Bicicleta,Bici +,Costo,https://oem.com.mx/eloccidental/local/en-tlajomulco-impulsan-movilidad-mediante-bicicletas-electricas-cuya-suscripcion-mensual-costaria-500-pesos-31404324
Ciclistas exigen respuesta de autoridad,01-08-26,NTR Guadalajara,Bicicleta,Acciones,Manifestación,https://www.ntrguadalajara.com/post.php?id_nota=247990
La ciudad cambia de ritmo sobre dos ruedas,07-30-26,El Informador,Bicicleta,Varios,Varios,https://www.informador.mx/jalisco/guadalajara-la-ciudad-cambia-de-ritmo-sobre-dos-ruedas-20260730-0001.html
